Datum und Uhrzeit,Energie Pro Wechselrichter | Symo 3.0-3-S (1),Energie Pro Wechselrichter pro kWp | Symo 3.0-3-S (1),Gesamtanlage
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.04.2024,3.58527,1.19509,3.58527
02.04.2024,8.18298,2.72766,8.18298
03.04.2024,4.50978,1.50326,4.50978
04.04.2024,4.49289,1.49763,4.49289
05.04.2024,7.45904,2.48635,7.45904
06.04.2024,11.933,3.97767,11.933
07.04.2024,9.5379,3.1793,9.5379
08.04.2024,8.31075,2.77025,8.31075
09.04.2024,2.20292,0.73431,2.20292
10.04.2024,9.48394,3.16131,9.48394
11.04.2024,11.31054,3.77018,11.31054
12.04.2024,12.91842,4.30614,12.91842
13.04.2024,12.37215,4.12405,12.37215
14.04.2024,10.17688,3.39229,10.17688
15.04.2024,10.19912,3.39971,10.19912
16.04.2024,6.34977,2.11659,6.34977
17.04.2024,7.36923,2.45641,7.36923
18.04.2024,7.23324,2.41108,7.23324
19.04.2024,1.86854,0.62285,1.86854
20.04.2024,9.81579,3.27193,9.81579
21.04.2024,9.6676,3.22253,9.6676
22.04.2024,7.72879,2.57626,7.72879
23.04.2024,14.59118,4.86373,14.59118
24.04.2024,7.24475,2.41492,7.24475
25.04.2024,9.106,3.03533,9.106
26.04.2024,8.43785,2.81262,8.43785
27.04.2024,14.63546,4.87849,14.63546
28.04.2024,8.64157,2.88052,8.64157
29.04.2024,12.4916,4.16387,12.4916
30.04.2024,14.31092,4.77031,14.31092
